scenario,solver,step,target_waypoint,reached_waypoints,total_waypoints,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,cumulative_elapsed,cumulative_rollout,cumulative_clustering,cumulative_connection,cumulative_guide,x,y,theta
0,"mppi",45,1,1,12,0.000582854,0.000582854,0,0,0,0.028960489,0.028960489,0,0,0,1.456470304,1.734992365,2.03376964
0,"mppi",46,1,1,12,0.000755865,0.000755865,0,0,0,0.029716354,0.029716354,0,0,0,1.456470143,1.734992688,2.094003631
0,"mppi",47,1,1,12,0.000573927,0.000573927,0,0,0,0.030290281,0.030290281,0,0,0,1.431374227,1.778499412,1.936923996
0,"mppi",48,1,1,12,0.000605446,0.000605446,0,0,0,0.030895727,0.030895727,0,0,0,1.416815354,1.816470998,2.063513156
0,"mppi",49,1,1,12,0.000648616,0.000648616,0,0,0,0.031544343,0.031544343,0,0,0,1.416815354,1.816470998,2.013682875
0,"mppi",50,1,2,12,0.000641462,0.000641462,0,0,0,0.032185805,0.032185805,0,0,0,1.39212622,1.868523555,2.134933217
0,"mppi",51,2,2,12,0.000580279,0.000580279,0,0,0,0.032766084,0.032766084,0,0,0,1.361486046,1.916949099,2.15862286
0,"mppi",52,2,2,12,0.000585048,0.000585048,0,0,0,0.033351132,0.033351132,0,0,0,1.353172264,1.92942453,2.012173846
0,"mppi",53,2,2,12,0.000616145,0.000616145,0,0,0,0.033967277,0.033967277,0,0,0,1.353172264,1.92942453,1.855094211
0,"mppi",54,2,2,12,0.000626134,0.000626134,0,0,0,0.034593411,0.034593411,0,0,0,1.335121225,1.991198017,1.901717793
0,"mppi",55,2,2,12,0.000599274,0.000599274,0,0,0,0.035192685,0.035192685,0,0,0,1.302629761,2.085772353,1.76451184
0,"mppi",56,2,2,12,0.000585899,0.000585899,0,0,0,0.035778584,0.035778584,0,0,0,1.302625363,2.085794773,1.607433257
0,"mppi",57,2,2,12,0.000584948,0.000584948,0,0,0,0.036363532,0.036363532,0,0,0,1.300975503,2.13080733,1.49847468
0,"mppi",58,2,2,12,0.000653464,0.000653464,0,0,0,0.037016996,0.037016996,0,0,0,1.308201364,2.230545925,1.431324011
0,"mppi",59,2,2,12,0.00062382,0.00062382,0,0,0,0.037640816,0.037640816,0,0,0,1.308295055,2.23121331,1.42329599
0,"mppi",60,2,2,12,0.000580629,0.000580629,0,0,0,0.038221445,0.038221445,0,0,0,1.310101377,2.243370597,1.420725867
