scenario,solver,step,target_waypoint,reached_waypoints,total_waypoints,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,cumulative_elapsed,cumulative_rollout,cumulative_clustering,cumulative_connection,cumulative_guide,x,y,theta
0,"bi_mppi",32,1,1,12,0.008191636,0.003615502,0.002887095,3.5486e-05,0.001653553,0.355781802,0.120019642,0.185518033,0.001208498,0.049035629,1.402028513,1.48940162,1.728511434
0,"bi_mppi",33,1,1,12,0.028289843,0.004036214,0.022719357,4.3361e-05,0.001490911,0.384071645,0.124055856,0.20823739,0.001251859,0.05052654,1.389852925,1.56596035,1.708950705
0,"bi_mppi",34,1,1,12,0.009851658,0.003818966,0.004454219,3.8541e-05,0.001539932,0.393923303,0.127874822,0.212691609,0.0012904,0.052066472,1.378424321,1.648156804,1.762136588
0,"bi_mppi",35,1,1,12,0.008718334,0.004024309,0.003260749,3.8233e-05,0.001395043,0.402641637,0.131899131,0.215952358,0.001328633,0.053461515,1.366891326,1.707694224,1.675659616
0,"bi_mppi",36,1,1,12,0.009851162,0.004204949,0.004021714,3.8672e-05,0.001585827,0.412492799,0.13610408,0.219974072,0.001367305,0.055047342,1.360139143,1.77184837,1.625855105
0,"bi_mppi",37,1,1,12,0.011141364,0.003766967,0.006026263,3.9352e-05,0.001308782,0.423634163,0.139871047,0.226000335,0.001406657,0.056356124,1.356382626,1.840006817,1.592223736
0,"bi_mppi",38,1,2,12,0.009070016,0.00374516,0.003764807,3.7429e-05,0.00152262,0.432704179,0.143616207,0.229765142,0.001444086,0.057878744,1.355043606,1.90248822,1.56437496
0,"bi_mppi",39,2,2,12,0.012327882,0.00336764,0.007581209,3.4684e-05,0.001344349,0.445032061,0.146983847,0.237346351,0.00147877,0.059223093,1.35552315,1.977166632,1.532914578
0,"bi_mppi",40,2,2,12,0.010527116,0.003406091,0.005594157,3.4284e-05,0.001492584,0.455559177,0.150389938,0.242940508,0.001513054,0.060715677,1.356718565,2.008708018,1.562463482
0,"bi_mppi",41,2,2,12,0.008311479,0.003617415,0.00314174,3.5114e-05,0.00151721,0.463870656,0.154007353,0.246082248,0.001548168,0.062232887,1.35711503,2.05628552,1.533065201
0,"bi_mppi",42,2,2,12,0.010230163,0.003268727,0.005483672,3.5804e-05,0.00144196,0.474100819,0.15727608,0.25156592,0.001583972,0.063674847,1.357871066,2.076313476,1.617292283
0,"bi_mppi",43,2,2,12,0.009015055,0.003603999,0.003856367,3.5786e-05,0.001518903,0.483115874,0.160880079,0.255422287,0.001619758,0.06519375,1.354971056,2.138639768,1.610703721
0,"bi_mppi",44,2,2,12,0.008384247,0.003664728,0.003194187,3.4822e-05,0.00149051,0.491500121,0.164544807,0.258616474,0.00165458,0.06668426,1.352134869,2.20967123,1.559478151
0,"bi_mppi",45,2,2,12,0.007653787,0.003404719,0.002672748,3.3633e-05,0.001542687,0.499153908,0.167949526,0.261289222,0.001688213,0.068226947,1.352948545,2.281559191,1.555935304
