scenario,solver,step,x,y,theta
0,"log_mppi",0,1.5,0,1.570796327
0,"log_mppi",1,1.5,3.101272447e-19,1.413716692
0,"log_mppi",2,1.515643447,0.09876883549,1.389923292
0,"log_mppi",3,1.53233692,0.1900540382,1.232880532
0,"log_mppi",4,1.565307045,0.283880806,1.275651223
0,"log_mppi",5,1.565307045,0.283880806,1.359753851
0,"log_mppi",6,1.586254982,0.3816621143,1.202674216
0,"log_mppi",7,1.622241381,0.4749625932,1.139974356
0,"log_mppi",8,1.625853316,0.4828211818,1.274538937
0,"log_mppi",9,1.655047586,0.5784647645,1.431618572
0,"log_mppi",10,1.667046037,0.6641169515,1.274538975
0,"log_mppi",11,1.690291026,0.7402700588,1.43108585
0,"log_mppi",12,1.703197931,0.8320514259,1.588163859
0,"log_mppi",13,1.703197931,0.8320514259,1.745243494
0,"log_mppi",14,1.698986289,0.8559488153,1.902323129
0,"log_mppi",15,1.690912094,0.8794045162,1.81084366
0,"log_mppi",16,1.679677009,0.925305683,1.846525157
0,"log_mppi",17,1.668519088,0.9647419338,1.689445522
0,"log_mppi",18,1.664871089,0.9953436156,1.846525097
0,"log_mppi",19,1.637646263,1.091566322,1.689445462
0,"log_mppi",20,1.625809168,1.190863268,1.808741211
0,"log_mppi",21,1.625809168,1.190863269,1.955750139
0,"log_mppi",22,1.601988472,1.249655377,1.921600861
0,"log_mppi",23,1.601988472,1.249655377,1.933720411
0,"log_mppi",24,1.566487535,1.343141653,1.776640776
0,"log_mppi",25,1.566177993,1.344624121,1.933720411
0,"log_mppi",26,1.535357586,1.425784939,2.062491058
0,"log_mppi",27,1.512148148,1.469121138,1.905414585
0,"log_mppi",28,1.503022054,1.495368689,1.74833495
0,"log_mppi",29,1.493702012,1.547311824,1.695033084
0,"log_mppi",30,1.492321414,1.558367234,1.541884938
0,"log_mppi",31,1.492654801,1.569895359,1.679117652
0,"log_mppi",32,1.492654469,1.569898408,1.836149339
0,"log_mppi",33,1.473491987,1.640410512,1.989909053
0,"log_mppi",34,1.432796973,1.731755551,2.07540711
0,"log_mppi",35,1.410169893,1.772724038,1.924550331
0,"log_mppi",36,1.410169893,1.772724038,1.767470726
0,"log_mppi",37,1.390629,1.870796225,1.779043665
0,"log_mppi",38,1.369954457,1.968635703,1.748836887
0,"log_mppi",39,1.362508495,2.01001459,1.698308508
0,"log_mppi",40,1.353224982,2.082424484,1.541228873
0,"log_mppi",41,1.35344533,2.089874687,1.442648788
0,"log_mppi",42,1.359380833,2.135938601,1.285569153
0,"log_mppi",43,1.359380833,2.135938601,1.363560073
0,"log_mppi",44,1.373993618,2.20543895,1.447760643
0,"log_mppi",45,1.386266169,2.304683017,1.415964423
0,"log_mppi",46,1.40168757,2.403486765,1.489752496
0,"log_mppi",47,1.409783085,2.503158541,1.51953797
0,"log_mppi",48,1.410119855,2.509722836,1.479129686
0,"log_mppi",49,1.419273687,2.609302992,1.322050051
0,"log_mppi",50,1.443892589,2.706225178,1.177606764
0,"log_mppi",51,1.449173849,2.7189576,1.31158731
0,"log_mppi",52,1.455075256,2.741212383,1.468665875
0,"log_mppi",53,1.465270555,2.840691306,1.528432613
0,"log_mppi",54,1.46950566,2.940601587,1.625829853
0,"log_mppi",55,1.46950566,2.940601587,1.782909488
0,"log_mppi",56,1.454392165,3.010781814,1.930993266
0,"log_mppi",57,1.448502723,3.026419119,1.790892268
0,"log_mppi",58,1.428025456,3.117949835,1.764526372
0,"log_mppi",59,1.408773407,3.216079132,1.853291477
0,"log_mppi",60,1.391527946,3.275493433,1.965111954
