scenario,solver,step,target_waypoint,reached_waypoints,total_waypoints,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,cumulative_elapsed,cumulative_rollout,cumulative_clustering,cumulative_connection,cumulative_guide,x,y,theta
0,"cluster_mppi",38,1,1,12,0.002848705,0.000562756,0.002285949,0,0,0.075922292,0.022797342,0.05312495,0,0,1.497935767,1.514525498,1.354863473
0,"cluster_mppi",39,1,1,12,0.00101158,0.000624711,0.000386869,0,0,0.076933872,0.023422053,0.053511819,0,0,1.508557582,1.562948939,1.314452413
0,"cluster_mppi",40,1,1,12,0.000953161,0.000570139,0.000383022,0,0,0.077887033,0.023992192,0.053894841,0,0,1.508557582,1.562948939,1.418849645
0,"cluster_mppi",41,1,1,12,0.00099544,0.00056489,0.00043055,0,0,0.078882473,0.024557082,0.054325391,0,0,1.508557582,1.562948939,1.502053293
0,"cluster_mppi",42,1,1,12,0.001004337,0.000649577,0.00035476,0,0,0.07988681,0.025206659,0.054680151,0,0,1.508557582,1.562948939,1.52413729
0,"cluster_mppi",43,1,1,12,0.00100044,0.000605456,0.000394984,0,0,0.08088725,0.025812115,0.055075135,0,0,1.508557582,1.562948939,1.367057655
0,"cluster_mppi",44,1,1,12,0.001029764,0.000599013,0.000430751,0,0,0.081917014,0.026411128,0.055505886,0,0,1.508557582,1.562948939,1.325647414
0,"cluster_mppi",45,1,1,12,0.000928475,0.000559099,0.000369376,0,0,0.082845489,0.026970227,0.055875262,0,0,1.508557582,1.562948939,1.168567779
0,"cluster_mppi",46,1,1,12,0.000973079,0.000567545,0.000405534,0,0,0.083818568,0.027537772,0.056280796,0,0,1.508557582,1.562948939,1.099911016
0,"cluster_mppi",47,1,1,12,0.00133413,0.000853406,0.000480724,0,0,0.085152698,0.028391178,0.05676152,0,0,1.540653885,1.62599658,0.9767045092
0,"cluster_mppi",48,1,1,12,0.001059891,0.000617829,0.000442062,0,0,0.086212589,0.029009007,0.057203582,0,0,1.540653885,1.62599658,1.133784144
0,"cluster_mppi",49,1,1,12,0.001016669,0.000566413,0.000450256,0,0,0.087229258,0.02957542,0.057653838,0,0,1.582976581,1.716597027,1.207299067
0,"cluster_mppi",50,1,1,12,0.001005659,0.000603231,0.000402428,0,0,0.088234917,0.030178651,0.058056266,0,0,1.618531013,1.810062722,1.364378702
0,"cluster_mppi",51,1,2,12,0.001018803,0.000605676,0.000413127,0,0,0.08925372,0.030784327,0.058469393,0,0,1.639026503,1.907939865,1.400950358
0,"cluster_mppi",52,2,2,12,0.001159045,0.00065594,0.000503105,0,0,0.090412765,0.031440267,0.058972498,0,0,1.64263505,1.928981169,1.418143774
0,"cluster_mppi",53,2,2,12,0.00110832,0.000607489,0.000500831,0,0,0.091521085,0.032047756,0.059473329,0,0,1.647318433,1.959422504,1.496462092
0,"cluster_mppi",54,2,2,12,0.000977167,0.000566623,0.000410544,0,0,0.092498252,0.032614379,0.059883873,0,0,1.653570075,2.043369328,1.562992205
0,"cluster_mppi",55,2,2,12,0.000941199,0.000603201,0.000337998,0,0,0.093439451,0.03321758,0.060221871,0,0,1.654350479,2.143366284,1.425422002
0,"cluster_mppi",56,2,2,12,0.000959564,0.000601638,0.000357926,0,0,0.094399015,0.033819218,0.060579797,0,0,1.659798402,2.180577052,1.327899292
0,"cluster_mppi",57,2,2,12,0.001469101,0.000584216,0.000884885,0,0,0.095868116,0.034403434,0.061464682,0,0,1.659798402,2.180577052,1.484978927
0,"cluster_mppi",58,2,2,12,0.000971275,0.000603592,0.000367683,0,0,0.096839391,0.035007026,0.061832365,0,0,1.668369612,2.280209048,1.509269534
0,"cluster_mppi",59,2,2,12,0.000997344,0.000555282,0.000442062,0,0,0.097836735,0.035562308,0.062274427,0,0,1.669714823,2.302045275,1.437139237
0,"cluster_mppi",60,2,2,12,0.000957209,0.000611947,0.000345262,0,0,0.098793944,0.036174255,0.062619689,0,0,1.680244112,2.380353992,1.578352543
